"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/01/01","139929","113349","26580"
"2020/01/02","139929","113349","26580"
"2020/01/03","139929","113349","26580"
"2020/01/04","139929","113349","26580"
"2020/01/05","139929","113349","26580"
"2020/01/06","339929","313349","26580"
"2020/01/07","205101","178521","26580"
"2020/01/08","205101","178521","26580"
"2020/01/09","205101","178521","26580"
"2020/01/10","205101","178521","26580"
"2020/01/11","205101","178521","26580"
"2020/01/12","205101","178521","26580"
"2020/01/13","205101","178521","26580"
"2020/01/14","205560","178980","26580"
"2020/01/15","207835","178980","28855"
"2020/01/16","208120","178980","29140"
"2020/01/17","208120","178980","29140"
"2020/01/18","208120","178980","29140"
"2020/01/19","208120","178980","29140"
"2020/01/20","428196","399056","29140"
"2020/01/21","428196","399056","29140"
"2020/01/22","428196","399056","29140"
"2020/01/23","428196","399056","29140"
"2020/01/24","428196","399056","29140"
"2020/01/25","428196","399056","29140"
"2020/01/26","428196","399056","29140"
"2020/01/27","428196","399056","29140"
"2020/01/28","428196","399056","29140"
"2020/01/29","428196","399056","29140"
"2020/01/30","428196","399056","29140"
"2020/01/31","428196","399056","29140"
