"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2018/11/01","0","0","0"
"2018/11/02","0","0","0"
"2018/11/03","0","0","0"
"2018/11/04","0","0","0"
"2018/11/05","0","0","0"
"2018/11/06","0","0","0"
"2018/11/07","0","0","0"
"2018/11/08","0","0","0"
"2018/11/09","0","0","0"
"2018/11/10","0","0","0"
"2018/11/11","0","0","0"
"2018/11/12","0","0","0"
"2018/11/13","0","0","0"
"2018/11/14","0","0","0"
"2018/11/15","20","0","20"
"2018/11/16","20","0","20"
"2018/11/17","20","0","20"
"2018/11/18","20","0","20"
"2018/11/19","20","0","20"
"2018/11/20","20","0","20"
"2018/11/21","20","0","20"
"2018/11/22","20","0","20"
"2018/11/23","20","0","20"
"2018/11/24","20","0","20"
"2018/11/25","20","0","20"
"2018/11/26","20","0","20"
"2018/11/27","20","0","20"
"2018/11/28","20","0","20"
"2018/11/29","117020","117000","20"
"2018/11/30","117020","117000","20"
