"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/12/01","372209","348004","24205"
"2019/12/02","372209","348004","24205"
"2019/12/03","482209","458004","24205"
"2019/12/04","118116","93911","24205"
"2019/12/05","115200","90995","24205"
"2019/12/06","115200","90995","24205"
"2019/12/07","115200","90995","24205"
"2019/12/08","115200","90995","24205"
"2019/12/09","115200","90995","24205"
"2019/12/10","113796","89591","24205"
"2019/12/11","113796","89591","24205"
"2019/12/12","113796","89591","24205"
"2019/12/13","113796","89591","24205"
"2019/12/14","113796","89591","24205"
"2019/12/15","89904","63324","26580"
"2019/12/16","89904","63324","26580"
"2019/12/17","89904","63324","26580"
"2019/12/18","89904","63324","26580"
"2019/12/19","139904","113324","26580"
"2019/12/20","139929","113349","26580"
"2019/12/21","139929","113349","26580"
"2019/12/22","139929","113349","26580"
"2019/12/23","139929","113349","26580"
"2019/12/24","139929","113349","26580"
"2019/12/25","139929","113349","26580"
"2019/12/26","139929","113349","26580"
"2019/12/27","139929","113349","26580"
"2019/12/28","139929","113349","26580"
"2019/12/29","139929","113349","26580"
"2019/12/30","139929","113349","26580"
"2019/12/31","139929","113349","26580"
