"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/05/01","191450","189815","1635"
"2019/05/02","301450","299815","1635"
"2019/05/03","301450","299815","1635"
"2019/05/04","301450","299815","1635"
"2019/05/05","301450","299815","1635"
"2019/05/06","301450","299815","1635"
"2019/05/07","301450","299815","1635"
"2019/05/08","254938","253303","1635"
"2019/05/09","254938","253303","1635"
"2019/05/10","254938","253303","1635"
"2019/05/11","254938","253303","1635"
"2019/05/12","254938","253303","1635"
"2019/05/13","254938","253303","1635"
"2019/05/14","254938","253303","1635"
"2019/05/15","255548","253303","2245"
"2019/05/16","255548","253303","2245"
"2019/05/17","255548","253303","2245"
"2019/05/18","255548","253303","2245"
"2019/05/19","255548","253303","2245"
"2019/05/20","255548","253303","2245"
"2019/05/21","255548","253303","2245"
"2019/05/22","255548","253303","2245"
"2019/05/23","255548","253303","2245"
"2019/05/24","255548","253303","2245"
"2019/05/25","255548","253303","2245"
"2019/05/26","255548","253303","2245"
"2019/05/27","255548","253303","2245"
"2019/05/28","255548","253303","2245"
"2019/05/29","255548","253303","2245"
"2019/05/30","255548","253303","2245"
"2019/05/31","365548","363303","2245"
