"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/07/01","792126","757101","35025"
"2020/07/02","792126","757101","35025"
"2020/07/03","792126","757101","35025"
"2020/07/04","792126","757101","35025"
"2020/07/05","792126","757101","35025"
"2020/07/06","722231","687206","35025"
"2020/07/07","722231","687206","35025"
"2020/07/08","722231","687206","35025"
"2020/07/09","722231","687206","35025"
"2020/07/10","722231","687206","35025"
"2020/07/11","722231","687206","35025"
"2020/07/12","722231","687206","35025"
"2020/07/13","722231","687206","35025"
"2020/07/14","722231","687206","35025"
"2020/07/15","723486","687206","36280"
"2020/07/16","723486","687206","36280"
"2020/07/17","723526","687206","36320"
"2020/07/18","723526","687206","36320"
"2020/07/19","723526","687206","36320"
"2020/07/20","723526","687206","36320"
"2020/07/21","723526","687206","36320"
"2020/07/22","723526","687206","36320"
"2020/07/23","723526","687206","36320"
"2020/07/24","723526","687206","36320"
"2020/07/25","723526","687206","36320"
"2020/07/26","723526","687206","36320"
"2020/07/27","723526","687206","36320"
"2020/07/28","723526","687206","36320"
"2020/07/29","723526","687206","36320"
"2020/07/30","723526","687206","36320"
"2020/07/31","833526","797206","36320"
