"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/06/01","365548","363303","2245"
"2019/06/02","365548","363303","2245"
"2019/06/03","365548","363303","2245"
"2019/06/04","243082","240837","2245"
"2019/06/05","243082","240837","2245"
"2019/06/06","243082","240837","2245"
"2019/06/07","243082","240837","2245"
"2019/06/08","243082","240837","2245"
"2019/06/09","243082","240837","2245"
"2019/06/10","243082","240837","2245"
"2019/06/11","243082","240837","2245"
"2019/06/12","243082","240837","2245"
"2019/06/13","243082","240837","2245"
"2019/06/14","243082","240837","2245"
"2019/06/15","243492","240837","2655"
"2019/06/16","243492","240837","2655"
"2019/06/17","243492","240837","2655"
"2019/06/18","243492","240837","2655"
"2019/06/19","243492","240837","2655"
"2019/06/20","243492","240837","2655"
"2019/06/21","241782","239127","2655"
"2019/06/22","228782","226127","2655"
"2019/06/23","228782","226127","2655"
"2019/06/24","197362","194707","2655"
"2019/06/25","197362","194707","2655"
"2019/06/26","197362","194707","2655"
"2019/06/27","307362","304707","2655"
"2019/06/28","307362","304707","2655"
"2019/06/29","307362","304707","2655"
"2019/06/30","307362","304707","2655"
