"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/04/01","229045","227615","1430"
"2019/04/02","229045","227615","1430"
"2019/04/03","229045","227615","1430"
"2019/04/04","191221","189791","1430"
"2019/04/05","191221","189791","1430"
"2019/04/06","191221","189791","1430"
"2019/04/07","191221","189791","1430"
"2019/04/08","191221","189791","1430"
"2019/04/09","191221","189791","1430"
"2019/04/10","191221","189791","1430"
"2019/04/11","191221","189791","1430"
"2019/04/12","191221","189791","1430"
"2019/04/13","191221","189791","1430"
"2019/04/14","191221","189791","1430"
"2019/04/15","191426","189791","1635"
"2019/04/16","191426","189791","1635"
"2019/04/17","191426","189791","1635"
"2019/04/18","191426","189791","1635"
"2019/04/19","191426","189791","1635"
"2019/04/20","191426","189791","1635"
"2019/04/21","191426","189791","1635"
"2019/04/22","191450","189815","1635"
"2019/04/23","191450","189815","1635"
"2019/04/24","191450","189815","1635"
"2019/04/25","191450","189815","1635"
"2019/04/26","191450","189815","1635"
"2019/04/27","191450","189815","1635"
"2019/04/28","191450","189815","1635"
"2019/04/29","191450","189815","1635"
"2019/04/30","191450","189815","1635"
