"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/03/01","318216","288471","29745"
"2020/03/02","318216","288471","29745"
"2020/03/03","318216","288471","29745"
"2020/03/04","482573","452828","29745"
"2020/03/05","482573","452828","29745"
"2020/03/06","482573","452828","29745"
"2020/03/07","482573","452828","29745"
"2020/03/08","482573","452828","29745"
"2020/03/09","482573","452828","29745"
"2020/03/10","482573","452828","29745"
"2020/03/11","482573","452828","29745"
"2020/03/12","482573","452828","29745"
"2020/03/13","482573","452828","29745"
"2020/03/14","482573","452828","29745"
"2020/03/15","484093","452828","31265"
"2020/03/16","484093","452828","31265"
"2020/03/17","484093","452828","31265"
"2020/03/18","484093","452828","31265"
"2020/03/19","484093","452828","31265"
"2020/03/20","484093","452828","31265"
"2020/03/21","484093","452828","31265"
"2020/03/22","484093","452828","31265"
"2020/03/23","484093","452828","31265"
"2020/03/24","484093","452828","31265"
"2020/03/25","484093","452828","31265"
"2020/03/26","484093","452828","31265"
"2020/03/27","484093","452828","31265"
"2020/03/28","484093","452828","31265"
"2020/03/29","484093","452828","31265"
"2020/03/30","484093","452828","31265"
"2020/03/31","484093","452828","31265"
