"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/01/01","195889","195569","320"
"2019/01/02","195889","195569","320"
"2019/01/03","195889","195569","320"
"2019/01/04","195889","195569","320"
"2019/01/05","127865","127545","320"
"2019/01/06","127865","127545","320"
"2019/01/07","127865","127545","320"
"2019/01/08","127865","127545","320"
"2019/01/09","127865","127545","320"
"2019/01/10","127865","127545","320"
"2019/01/11","127865","127545","320"
"2019/01/12","127865","127545","320"
"2019/01/13","127865","127545","320"
"2019/01/14","127865","127545","320"
"2019/01/15","128200","127545","655"
"2019/01/16","128200","127545","655"
"2019/01/17","128200","127545","655"
"2019/01/18","128200","127545","655"
"2019/01/19","128200","127545","655"
"2019/01/20","128200","127545","655"
"2019/01/21","128200","127545","655"
"2019/01/22","128200","127545","655"
"2019/01/23","124161","123506","655"
"2019/01/24","124161","123506","655"
"2019/01/25","124161","123506","655"
"2019/01/26","124161","123506","655"
"2019/01/27","124161","123506","655"
"2019/01/28","124161","123506","655"
"2019/01/29","124161","123506","655"
"2019/01/30","124161","123506","655"
"2019/01/31","234161","233506","655"
