"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2018/12/01","117020","117000","20"
"2018/12/02","117020","117000","20"
"2018/12/03","117020","117000","20"
"2018/12/04","102107","102087","20"
"2018/12/05","102107","102087","20"
"2018/12/06","102107","102087","20"
"2018/12/07","102107","102087","20"
"2018/12/08","102107","102087","20"
"2018/12/09","95557","95537","20"
"2018/12/10","95557","95537","20"
"2018/12/11","95557","95537","20"
"2018/12/12","95557","95537","20"
"2018/12/13","95557","95537","20"
"2018/12/14","95557","95537","20"
"2018/12/15","95857","95537","320"
"2018/12/16","95857","95537","320"
"2018/12/17","95857","95537","320"
"2018/12/18","95857","95537","320"
"2018/12/19","95857","95537","320"
"2018/12/20","95857","95537","320"
"2018/12/21","91072","90752","320"
"2018/12/22","91072","90752","320"
"2018/12/23","91072","90752","320"
"2018/12/24","91072","90752","320"
"2018/12/25","91072","90752","320"
"2018/12/26","85889","85569","320"
"2018/12/27","85889","85569","320"
"2018/12/28","85889","85569","320"
"2018/12/29","195889","195569","320"
"2018/12/30","195889","195569","320"
"2018/12/31","195889","195569","320"
