"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/08/01","322758","318203","4555"
"2019/08/02","322758","318203","4555"
"2019/08/03","322758","318203","4555"
"2019/08/04","322758","318203","4555"
"2019/08/05","49944","45389","4555"
"2019/08/06","49944","45389","4555"
"2019/08/07","49944","45389","4555"
"2019/08/08","49944","45389","4555"
"2019/08/09","49944","45389","4555"
"2019/08/10","49944","45389","4555"
"2019/08/11","49944","45389","4555"
"2019/08/12","49944","45389","4555"
"2019/08/13","49944","45389","4555"
"2019/08/14","49944","45389","4555"
"2019/08/15","50669","45389","5280"
"2019/08/16","50669","45389","5280"
"2019/08/17","50669","45389","5280"
"2019/08/18","50669","45389","5280"
"2019/08/19","50670","45390","5280"
"2019/08/20","50670","45390","5280"
"2019/08/21","50687","45407","5280"
"2019/08/22","50687","45407","5280"
"2019/08/23","50687","45407","5280"
"2019/08/24","50687","45407","5280"
"2019/08/25","50027","44747","5280"
"2019/08/26","50027","44747","5280"
"2019/08/27","50027","44747","5280"
"2019/08/28","50027","44747","5280"
"2019/08/29","50027","44747","5280"
"2019/08/30","50027","44747","5280"
"2019/08/31","50027","44747","5280"
