"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/02/01","428196","399056","29140"
"2020/02/02","428196","399056","29140"
"2020/02/03","428196","399056","29140"
"2020/02/04","428196","399056","29140"
"2020/02/05","317610","288470","29140"
"2020/02/06","317610","288470","29140"
"2020/02/07","317610","288470","29140"
"2020/02/08","317610","288470","29140"
"2020/02/09","317610","288470","29140"
"2020/02/10","317610","288470","29140"
"2020/02/11","317610","288470","29140"
"2020/02/12","317610","288470","29140"
"2020/02/13","317610","288470","29140"
"2020/02/14","317610","288470","29140"
"2020/02/15","317610","288470","29140"
"2020/02/16","317610","288470","29140"
"2020/02/17","317610","288470","29140"
"2020/02/18","317611","288471","29140"
"2020/02/19","317611","288471","29140"
"2020/02/20","317611","288471","29140"
"2020/02/21","317611","288471","29140"
"2020/02/22","317611","288471","29140"
"2020/02/23","317611","288471","29140"
"2020/02/24","317611","288471","29140"
"2020/02/25","317611","288471","29140"
"2020/02/26","317611","288471","29140"
"2020/02/27","317611","288471","29140"
"2020/02/28","317611","288471","29140"
"2020/02/29","317611","288471","29140"
