"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/04/01","484093","452828","31265"
"2020/04/02","484093","452828","31265"
"2020/04/03","484093","452828","31265"
"2020/04/04","484093","452828","31265"
"2020/04/05","484093","452828","31265"
"2020/04/06","414365","383100","31265"
"2020/04/07","414365","383100","31265"
"2020/04/08","414365","383100","31265"
"2020/04/09","414365","383100","31265"
"2020/04/10","414630","383100","31530"
"2020/04/11","414630","383100","31530"
"2020/04/12","414630","383100","31530"
"2020/04/13","414630","383100","31530"
"2020/04/14","414630","383100","31530"
"2020/04/15","415540","383100","32440"
"2020/04/16","415550","383100","32450"
"2020/04/17","415550","383100","32450"
"2020/04/18","415550","383100","32450"
"2020/04/19","415550","383100","32450"
"2020/04/20","415550","383100","32450"
"2020/04/21","415550","383100","32450"
"2020/04/22","415550","383100","32450"
"2020/04/23","415550","383100","32450"
"2020/04/24","415550","383100","32450"
"2020/04/25","415550","383100","32450"
"2020/04/26","415550","383100","32450"
"2020/04/27","415550","383100","32450"
"2020/04/28","525550","493100","32450"
"2020/04/29","525550","493100","32450"
"2020/04/30","525550","493100","32450"
