"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/03/01","260554","259304","1250"
"2019/03/02","260554","259304","1250"
"2019/03/03","260554","259304","1250"
"2019/03/04","128764","127514","1250"
"2019/03/05","128764","127514","1250"
"2019/03/06","128764","127514","1250"
"2019/03/07","128764","127514","1250"
"2019/03/08","128764","127514","1250"
"2019/03/09","128764","127514","1250"
"2019/03/10","128764","127514","1250"
"2019/03/11","128764","127514","1250"
"2019/03/12","128764","127514","1250"
"2019/03/13","128764","127514","1250"
"2019/03/14","128764","127514","1250"
"2019/03/15","128944","127514","1430"
"2019/03/16","128944","127514","1430"
"2019/03/17","128944","127514","1430"
"2019/03/18","128944","127514","1430"
"2019/03/19","128944","127514","1430"
"2019/03/20","127251","125821","1430"
"2019/03/21","127251","125821","1430"
"2019/03/22","127251","125821","1430"
"2019/03/23","119045","117615","1430"
"2019/03/24","119045","117615","1430"
"2019/03/25","119045","117615","1430"
"2019/03/26","119045","117615","1430"
"2019/03/27","119045","117615","1430"
"2019/03/28","119045","117615","1430"
"2019/03/29","119045","117615","1430"
"2019/03/30","119045","117615","1430"
"2019/03/31","119045","117615","1430"
