"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/07/01","307362","304707","2655"
"2019/07/02","307362","304707","2655"
"2019/07/03","307362","304707","2655"
"2019/07/04","307362","304707","2655"
"2019/07/05","217601","214946","2655"
"2019/07/06","217601","214946","2655"
"2019/07/07","217601","214946","2655"
"2019/07/08","217601","214946","2655"
"2019/07/09","217601","214946","2655"
"2019/07/10","217601","214946","2655"
"2019/07/11","217601","214946","2655"
"2019/07/12","217601","214946","2655"
"2019/07/13","217601","214946","2655"
"2019/07/14","217601","214946","2655"
"2019/07/15","219501","214946","4555"
"2019/07/16","219501","214946","4555"
"2019/07/17","219501","214946","4555"
"2019/07/18","219501","214946","4555"
"2019/07/19","217611","213056","4555"
"2019/07/20","217611","213056","4555"
"2019/07/21","212676","208121","4555"
"2019/07/22","212676","208121","4555"
"2019/07/23","212758","208203","4555"
"2019/07/24","212758","208203","4555"
"2019/07/25","212758","208203","4555"
"2019/07/26","212758","208203","4555"
"2019/07/27","322758","318203","4555"
"2019/07/28","322758","318203","4555"
"2019/07/29","322758","318203","4555"
"2019/07/30","322758","318203","4555"
"2019/07/31","322758","318203","4555"
