"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/05/01","525550","493100","32450"
"2020/05/02","525550","493100","32450"
"2020/05/03","525550","493100","32450"
"2020/05/04","525585","493100","32485"
"2020/05/05","525585","493100","32485"
"2020/05/06","525585","493100","32485"
"2020/05/07","458062","425577","32485"
"2020/05/08","458062","425577","32485"
"2020/05/09","458062","425577","32485"
"2020/05/10","458062","425577","32485"
"2020/05/11","458062","425577","32485"
"2020/05/12","458062","425577","32485"
"2020/05/13","458062","425577","32485"
"2020/05/14","458062","425577","32485"
"2020/05/15","459407","425577","33830"
"2020/05/16","459447","425577","33870"
"2020/05/17","459447","425577","33870"
"2020/05/18","459447","425577","33870"
"2020/05/19","459447","425577","33870"
"2020/05/20","459447","425577","33870"
"2020/05/21","459447","425577","33870"
"2020/05/22","459447","425577","33870"
"2020/05/23","459447","425577","33870"
"2020/05/24","459447","425577","33870"
"2020/05/25","459447","425577","33870"
"2020/05/26","459447","425577","33870"
"2020/05/27","459447","425577","33870"
"2020/05/28","459447","425577","33870"
"2020/05/29","459447","425577","33870"
"2020/05/30","459447","425577","33870"
"2020/05/31","459447","425577","33870"
