"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2020/06/01","569447","535577","33870"
"2020/06/02","569447","535577","33870"
"2020/06/03","569447","535577","33870"
"2020/06/04","480971","447101","33870"
"2020/06/05","680971","647101","33870"
"2020/06/06","680971","647101","33870"
"2020/06/07","680971","647101","33870"
"2020/06/08","680971","647101","33870"
"2020/06/09","680971","647101","33870"
"2020/06/10","680971","647101","33870"
"2020/06/11","680971","647101","33870"
"2020/06/12","680971","647101","33870"
"2020/06/13","680971","647101","33870"
"2020/06/14","680971","647101","33870"
"2020/06/15","680971","647101","33870"
"2020/06/16","682116","647101","35015"
"2020/06/17","682116","647101","35015"
"2020/06/18","682116","647101","35015"
"2020/06/19","682116","647101","35015"
"2020/06/20","682116","647101","35015"
"2020/06/21","682116","647101","35015"
"2020/06/22","682116","647101","35015"
"2020/06/23","682116","647101","35015"
"2020/06/24","682126","647101","35025"
"2020/06/25","682126","647101","35025"
"2020/06/26","682126","647101","35025"
"2020/06/27","682126","647101","35025"
"2020/06/28","682126","647101","35025"
"2020/06/29","682126","647101","35025"
"2020/06/30","682126","647101","35025"
