"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/09/01","160027","154747","5280"
"2019/09/02","160027","154747","5280"
"2019/09/03","160027","154747","5280"
"2019/09/04","94854","89574","5280"
"2019/09/05","94854","89574","5280"
"2019/09/06","94854","89574","5280"
"2019/09/07","94854","89574","5280"
"2019/09/08","94854","89574","5280"
"2019/09/09","94854","89574","5280"
"2019/09/10","94854","89574","5280"
"2019/09/11","92894","87424","5470"
"2019/09/12","92894","87424","5470"
"2019/09/13","92894","87424","5470"
"2019/09/14","92894","87424","5470"
"2019/09/15","94474","87424","7050"
"2019/09/16","94474","87424","7050"
"2019/09/17","94474","87424","7050"
"2019/09/18","94474","87424","7050"
"2019/09/19","94474","87424","7050"
"2019/09/20","94475","87425","7050"
"2019/09/21","94475","87425","7050"
"2019/09/22","94475","87425","7050"
"2019/09/23","94475","87425","7050"
"2019/09/24","94475","87425","7050"
"2019/09/25","94475","87425","7050"
"2019/09/26","94475","87425","7050"
"2019/09/27","94475","87425","7050"
"2019/09/28","94475","87425","7050"
"2019/09/29","94475","87425","7050"
"2019/09/30","94475","87425","7050"
