"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/02/01","234161","233506","655"
"2019/02/02","234161","233506","655"
"2019/02/03","234161","233506","655"
"2019/02/04","234161","233506","655"
"2019/02/05","160940","160285","655"
"2019/02/06","160940","160285","655"
"2019/02/07","160940","160285","655"
"2019/02/08","160940","160285","655"
"2019/02/09","160940","160285","655"
"2019/02/10","160940","160285","655"
"2019/02/11","160940","160285","655"
"2019/02/12","160940","160285","655"
"2019/02/13","159265","158610","655"
"2019/02/14","159265","158610","655"
"2019/02/15","159860","158610","1250"
"2019/02/16","159860","158610","1250"
"2019/02/17","159860","158610","1250"
"2019/02/18","159860","158610","1250"
"2019/02/19","150544","149294","1250"
"2019/02/20","150554","149304","1250"
"2019/02/21","150554","149304","1250"
"2019/02/22","150554","149304","1250"
"2019/02/23","150554","149304","1250"
"2019/02/24","150554","149304","1250"
"2019/02/25","150554","149304","1250"
"2019/02/26","260554","259304","1250"
"2019/02/27","260554","259304","1250"
"2019/02/28","260554","259304","1250"
