"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2018/11/30","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","TDMfX9VO_W2HWOn9vd6UsQ"
"1","2018/11/25","割引分","47","セゾンカード","収入","ポイント還元","","0","ZPxxMVyt26URMSqnxbl-7Q"
"1","2018/11/25","西友 サンシャイン店(果物)","-1549","セゾンカード","食費","食料品","","0","j2VlFPVP0M8WM4yM2ruanw"
"1","2018/11/24","楽天ペイ かつbar Harubar","-10918","セゾンカード","食費","外食","ホタテんち","0","FE5sX6dY5UrzbNljFMSicA"
"1","2018/11/24","振込 ジヤン チ- (セイカツヒ201812)","110000","三井住友銀行","収入","生活費","","0","1756mC-PCmZ9OS4k9IcnjQ"
"1","2018/11/23","メガネトップ","-3240","セゾンカード","衣服・美容","アクセサリー","","0","fuO-SNOlYaUJdQdMdnjekA"
"1","2018/11/23","振込 リユウ シンセイ","7000","三井住友銀行","収入","生活費","","0","GCQ1hhqQ5JRSSoApLJ9HIw"
"1","2018/11/19","東京ディズニーリゾート〔チケット通販〕","-14800","セゾンカード","趣味・娯楽","アウトドア","","0","Jcg3q_0YphNreqf4k9bj5w"
"1","2018/11/18","割引分","43","セゾンカード","収入","ポイント還元","","0","Heflqfa-2MFskr7JrVxZtw"
"1","2018/11/18","西友 サンシャイン店(果物)","-1424","セゾンカード","食費","食料品","","0","4BPdejcPB0bLbRcFSdaS9A"
"1","2018/11/17","ETC特別割引 (須玉→高井戸本線)","-2670","セゾンカード","自動車","道路料金","","0","DX1yIMEZ1EODPX9rUM77Og"
"1","2018/11/17","ETC特別割引 (河口湖→須玉)","-1650","セゾンカード","自動車","道路料金","","0","WNwgkBt139PDQQy2kygBrA"
"1","2018/11/17","ETC特別割引 (高井戸本線→河口湖)","-2000","セゾンカード","自動車","道路料金","","0","wHWPoumflAlWDy7qELdlwQ"
"1","2018/11/17","ETC首都高速 (中央道接続→初台)","-380","セゾンカード","自動車","道路料金","","0","DVIaIJIQw-j2mPwj7YlNyw"
"1","2018/11/17","ETC首都高速 (東池袋→中央道接続)","-860","セゾンカード","自動車","道路料金","","0","1KV-BTht8QhWYwwTw5Vzlg"
"1","2018/11/12","東京ガス 1474-640-0085","-3240","セゾンカード","水道・光熱費","ガス・灯油代","","0","FCx9aN9Si3AFAZ232cguFA"
"1","2018/11/11","よしや","-2988","セゾンカード","食費","食料品","","0","9IgVHnaCaYdy3qZDBu9Xpg"
"1","2018/11/04","よしや","-3667","セゾンカード","食費","食料品","","0","2Aqgu6QL3wbRtpdhTz5l_A"
"1","2018/11/01","割引分","293","セゾンカード","収入","ポイント還元","","0","3x9xnAGX5shRtqVY5_m4ow"
"1","2018/11/01","西友 サンシャイン店(日用品・化粧品)","-9844","セゾンカード","日用品","日用品","","0","N7M-FGZtdQoGMaELsLaf5w"
