"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/05/31","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","laZXNzGUTZZGVz0nvgUFLg"
"1","2020/05/31","キャッシュレス・消費者還元分","693","セゾンカード","収入","ポイント還元","","0","WcQJ7iNxC8pk3BMKoaVioQ"
"1","2020/05/31","ベンガルビストロスナリ","-2390","セゾンカード","食費","外食","","0","lgkrTnHn6OYcokZRT-BTFg"
"1","2020/05/31","ライフ新大塚店 -東京都 豊島区","-6936","セゾンカード","日用品","日用品","","0","i-sQxc4P3EDIyLqFhjzgtw"
"1","2020/05/30","振込 ジヤン チ- (202006セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","WnJj6XBEkU8j1Nj7PENSPg"
"1","2020/05/29","上下水道料金 04月~05月分","-5055","セゾンカード","水道・光熱費","水道代","","0","88WbZ1__rETncQj3w-pSFA"
"1","2020/05/27","炭火焼バル フォンターナ 大塚店","-1940","セゾンカード","食費","外食","","0","JEzt4CGhvI1KJ0NUOrCBGQ"
"1","2020/05/26","割引分","133","セゾンカード","収入","ポイント還元","","0","o97LFjoVP7InhreCSLD5RA"
"1","2020/05/26","西友 サンシャイン店(漬物)","-4425","セゾンカード","食費","食料品","","0","KSgqykBPBJlgm92SxETIVg"
"1","2020/05/25","よしや","-6089","セゾンカード","食費","食料品","","0","Cfkvspsn0pKIoz4fc0c-Mg"
"1","2020/05/24","アトレヴィ大塚","-1632","セゾンカード","食費","食料品","","0","UwZaYCAsqa0TJs7y3QgDuA"
"1","2020/05/19","マツモトキヨシ新大塚駅前店","-3338","セゾンカード","日用品","ドラッグストア","","0","_oCQcbM1_0NGtCQZSrG-Wg"
"1","2020/05/17","Santoku 茗荷谷駅前店","-2824","セゾンカード","食費","食料品","","0","C6yGsT7RzlIsClSqeNUSGg"
"1","2020/05/15","まいばすけっと","-794","セゾンカード","食費","食料品","","0","GIgBOk4vyml8Vh2owxxPvw"
"1","2020/05/14","東京ガス 1474-640-0085","-3799","セゾンカード","水道・光熱費","ガス・灯油代","","0","yDQiO4gucd4V3GNaAw86pw"
"1","2020/05/14","よしや","-460","セゾンカード","食費","食料品","","0","pwjjis9Fm-avLYCMzH4NMQ"
"1","2020/05/12","割引分","112","セゾンカード","収入","ポイント還元","","0","SQI16Lt4X5PfCgAm63TuBQ"
"1","2020/05/12","西友 サンシャイン店(漬物)","-3708","セゾンカード","食費","食料品","","0","m49oz9aqbOzXM6qVtZnfwQ"
"1","2020/05/11","イオンマーケット","-2174","セゾンカード","日用品","日用品","","0","dwM0pUkO1YJTk_oG_Zw3Lg"
"1","2020/05/10","ライフ新大塚店 -東京都 豊島区","-4249","セゾンカード","日用品","日用品","","0","p7mCwquNBakBS-gMFo59Sw"
"1","2020/05/09","アトレヴィ大塚","-1762","セゾンカード","食費","食料品","","0","leBY8xTOEZU30w42tk4MPw"
"0","2020/05/07","セゾン","-67523","三井住友銀行","現金・カード","カード引き落とし","","1","cznPQoPF23EOZG83qkNdiQ"
"1","2020/05/04","サミットストア 巣鴨店 -東京都 豊島区","-5690","セゾンカード","食費","食料品","","0","UL5X5Vb2D4A09okZFQ9aMQ"
"1","2020/05/03","よしや","-2579","セゾンカード","食費","食料品","","0","cazIyej8k-n-IDp56p5nyg"
"1","2020/05/01","ドミノ・ピザ","-4081","セゾンカード","食費","食料品","","0","uYElcZGvK6lOHInhZkjxPw"
