"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/04/30","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","qfEpjeLKx51XEWavZMXIUg"
"1","2019/04/30","メルサ","-4752","セゾンカード","食費","外食","","0","0qPZjuogLVvGfCbNV7yQHA"
"1","2019/04/30","0600 マツモトキヨシ 銀座5th店","-1372","セゾンカード","日用品","ドラッグストア","","0","YWeCDycvNOiEn6LctVP9kA"
"1","2019/04/30","ブライダルハウスチュチュ 銀座店","-50000","セゾンカード","交際費","冠婚葬祭","","0","6n-YnanVCN7eVpZRU8wgGQ"
"1","2019/04/28","東京ソラマチ","-1078","セゾンカード","衣服・美容","衣服","","0","CPGoKCARs35PjAD7YLg3ow"
"1","2019/04/28","東京ソラマチ","-1370","セゾンカード","衣服・美容","衣服","","0","d2zo-9lNlwuzoAghCE3Slg"
"1","2019/04/24","アトレヴィ大塚","-575","セゾンカード","衣服・美容","衣服","","0","hPfnfHRPCT4LhGgPRz84cw"
"1","2019/04/23","マルエツプチ 新大塚","-4831","セゾンカード","食費","食料品","","0","kh-n9CLZ0OK2UZBgXkupQg"
"1","2019/04/22","振込 Vキヤツシユバツク","24","三井住友銀行","収入","その他入金","","0","1zGicZvJAEkcTVmk-oPJCQ"
"1","2019/04/21","李厨","-9318","セゾンカード","食費","外食","","0","7OJbbF4wyjA8bbvbop9iew"
"1","2019/04/20","よしや","-2551","セゾンカード","食費","食料品","","0","92H4B1xcDL-Rcv9EJuReYg"
"1","2019/04/20","よしや","-3592","セゾンカード","食費","食料品","","0","UOElGxDwNPE7P9jalFCOgg"
"1","2019/04/15","アトレヴィ大塚","-676","セゾンカード","衣服・美容","衣服","","0","ib1WT6awvv4goS3o5p2KMw"
"1","2019/04/14","よしや","-2617","セゾンカード","食費","食料品","","0","-ZeNs3rvTHbh8DJbglAxDQ"
"1","2019/04/13","友諠商店","-3825","セゾンカード","食費","食料品","","0","jxNlAwQhKqsKAi2BAbJDqw"
"1","2019/04/13","カルディコーヒーファーム 下北沢北口店","-1143","セゾンカード","食費","食料品","","0","jVg_2vmHo0_D9Aen7n2Yzw"
"1","2019/04/10","東京ガス 1474-640-0085","-4476","セゾンカード","水道・光熱費","ガス・灯油代","","0","VPw_E0cR1TVpkr9GjVMziQ"
"1","2019/04/06","マロニエゲート銀座 2アンド3 -東京都 中央区","-1134","セゾンカード","食費","外食","","0","dtejHMoAf4jSbDX_lRNWUw"
"1","2019/04/05","ワイン厨房tamaya","-6069","セゾンカード","食費","外食","","0","fQHwZ5YNB67d0RRWg6Wchw"
"0","2019/04/04","セゾン","-37824","三井住友銀行","現金・カード","カード引き落とし","","1","ynuCeIe4yeiB3YahwBmAvg"
"1","2019/04/02","アトレヴィ大塚","-1308","セゾンカード","衣服・美容","衣服","","0","vbzMIsqcvtg2qQpWpCOkbw"
